Names,Date,Team,Win/Loss,Score,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,TS%,+/-
kon,2026-03-04,CHO,W,118-89,31,7,14,0.5,4,8,0.5,2,3,0.667,0,4,4,0,0,1,1,2,20,12.7,0.68,22
kon,2026-03-03,CHO,W,117-90,32,6,14,0.429,1,7,0.143,0,1,0,3,3,6,5,1,1,2,3,13,10.2,0.46,17
kon,2026-02-28,CHO,W,109-93,29,4,11,0.364,2,7,0.286,0,3,0,3,5,8,1,3,0,2,4,10,6.4,0.43,24
kon,2026-02-26,CHO,W,133-109,31,10,17,0.588,8,12,0.667,0,0,,0,4,4,2,1,1,1,3,28,22.2,0.82,26
kon,2026-02-24,CHO,W,131-99,23,7,12,0.583,3,6,0.5,4,4,1,1,0,1,2,2,0,0,2,21,18.7,0.82,24
dylan,2026-03-05,SAS,W,121-106,20,3,5,0.6,1,2,0.5,0,0,,1,1,2,1,1,0,3,2,7,3.6,0.7,-6
dylan,2026-03-03,SAS,W,131-91,22,8,11,0.727,2,4,0.5,4,4,1,0,2,2,2,0,0,2,0,22,17.5,0.93,3
dylan,2026-03-01,SAS,L,89-114,22,3,7,0.429,0,0,,2,2,1,1,2,3,4,3,0,2,3,8,8.2,0.54,-21
dylan,2026-02-26,SAS,W,126-110,29,4,9,0.444,1,4,0.25,3,4,0.75,0,3,3,7,1,0,3,2,12,9.9,0.61,10
dylan,2026-02-25,SAS,W,110-107,29,7,11,0.636,1,4,0.25,0,2,0,2,3,5,7,2,0,1,4,15,15.9,0.66,1
tre,2026-03-05,WAS,L,112-122,20,5,13,0.385,5,9,0.556,0,0,,1,7,8,2,1,0,3,2,15,9.3,0.58,2
tre,2026-03-03,WAS,L,109-126,24,3,12,0.25,0,4,0,3,4,0.75,0,0,0,1,0,1,3,3,9,-1.4,0.35,-19
tre,2026-03-02,WAS,L,118-123,22,2,10,0.2,1,3,0.333,0,0,,1,3,4,3,1,1,1,2,5,2.4,0.25,-5
tre,2026-02-28,WAS,L,125-134,19,3,6,0.5,1,3,0.333,1,2,0.5,1,2,3,0,0,1,2,4,8,3,0.62,-7
tre,2026-02-26,WAS,L,96-126,20,5,7,0.714,2,2,1,2,2,1,0,5,5,1,1,0,4,3,14,9.1,0.94,-9
egor,2026-02-27,BRK,L,111-148,22,2,4,0.5,1,3,0.333,0,0,,0,0,0,2,0,0,1,3,5,2.2,0.63,-9
egor,2026-02-26,BRK,L,110-126,25,2,3,0.667,1,2,0.5,1,2,0.5,0,5,5,9,1,0,1,0,6,12.1,0.87,-3
egor,2026-02-24,BRK,L,114-123,28,1,7,0.143,1,6,0.167,0,0,,0,5,5,2,1,0,0,2,3,1.6,0.21,3
egor,2026-02-22,BRK,L,104-115,28,5,11,0.455,2,5,0.4,1,2,0.5,0,1,1,4,1,1,1,0,13,10.7,0.57,-18
egor,2026-02-20,BRK,L,86-105,28,1,10,0.1,1,8,0.125,0,0,,0,5,5,3,1,2,0,2,3,1.6,0.15,-11
